sku,name,unit,supplier_name,channel,warehouse,fcc_supplier_id,fcc_supplier_name,match_type
,有皮22片裝厚方包,條,鳳香園麵飽有限公司,external,,56e1237a-b85f-41e7-807c-bc7515269645,鳳香園,alias
FCR001,滷水牛展片 # 每訂6包牛展片要跟1包牛展頭,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR011,滷水牛展頭,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR003,滷水牛肚,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR002,滷水牛腩,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR013,滷水牛筋,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR004,燜豬肚,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR021,香菇滷肉,2kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR006-B,醃有骨豬扒,3kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR007-C,醃雞扒,3kg / 包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
LKO043,麻辣醬,6KG/桶,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
LKO044,29號蒜味炸漿粉,2份/包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
FCR022,扁食肉餡 (500克),包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
,綠豆沙,包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
,甜酸咕嚕汁,包,FC_凍肉,fc_internal,frozen,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
LKO028,牛肉湯粉,600g/包,FC_乾貨,fc_internal,dry,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
LKO031,藥膳包,460/包,FC_乾貨,fc_internal,dry,87bcc50f-5613-4d0c-8bbc-d859459b2842,FC-總部,fc_hq
